请问您的性别是？,您所在的城市属于哪个省（直辖市/自治区/特区）？,请问您的出生年代是？,请问您的学历是？,请问您是否有海外留学经历？（以学习为目的，在国外停留超过1个月）,请问未来1-3年内，您是否有留学或继续深造计划？（多选）,您是否考虑线上教学的方式继续深造？,请问您属于以下哪种身份？,请问您所从事的行业是？,请问您在单位的岗位职能是？,关于汽车，请问以下哪个描述符合您的情况？,请问您拥有什么类型的汽车？,请问您购买的车型品牌是？,请问您购买汽车的价格是在什么范围？（如果拥有多辆车，请以价格最高的一辆车为准）,请问您未来1年内是否有购置汽车的计划？,请问您对新能源纯电动汽车的尝试意愿如何？,请问您更愿意尝试以下哪个品牌的新能源纯电动汽车？,请问您和您家人每年旅行消费支出是（排除疫情年度影响）？,请问您常规每年开展几次出境游（排除疫情年度影响，个人+商务旅行）,请问在订购机票时，您一般选择什么舱位？,请问您在选择酒店时，通常预定什么等级的酒店？（最多选择两项）,请问您在选择酒店时，通常每个房间每晚消费多少？,请问您购买过哪些品类的奢侈品？（多选）,请问您购买奢侈品的主要用途是？（多选）,请问您拥有几块机械腕表类的奢侈品?,请问您拥有几件珠宝类的奢侈品?,请问您拥有几件包/鞋/服饰类的奢侈品？,请问您购买奢侈品时的考虑因素有哪些？（多选）,请问您对以下哪些品牌的腕表感兴趣？（多选）,请问您拥有何种品牌的机械腕表？（如有多块儿腕表，请多选）,请问您购买这块机械腕表的花费是多少？（若您有多块机械腕表，则填写最贵的那块机械腕表价格）,请问您未来是否会考虑购买机械腕表，计划在多长时间内购买机械腕表？,请问您计划花多少钱来购买机械腕表？,请问您用过哪些彩妆及肤护品？或者您购买过哪些送人？（多选）,请问您或您的家庭在未来1年内计划购买以下哪些电子产品？（多选）,请问您新购/更换手机的频率是？,请问您在购买手机时，主要考虑因素有哪些？（多选）,请问您的婚姻状况是？,请问您目前的家庭情况是？,请问您的子女处在哪个人生阶段？(如您有2个及以上孩子请多选),请问您是否有宠物？,请问您每个月在宠物身上的平均花费是多少？,请问您过去一年的个人平均月收入范围是？（包括固定工资，奖金，福利，金融产品收益，资产收益等所有收入的总和）,请问过去一年您的家庭平均税前月收入范围是？（如未婚则仅包含个人；包括固定工资，奖金，福利，金融产品收益，资产收益等所有收入的总和）,请问过去一年您消费占比最高的三项是？,在闲暇时，您主要的消遣方式有哪些？（多选）,请问您平均每月网购次数？,请问您平均每月网购总金额范围？,请问您在消费时更看重以下哪点？,请问您经常使用的网购平台是？（多选）,请问您在消费时，是否容易受到他人影响？,设备,作答时长
女,安徽,00后（2000年以后出生）,高中及以下,否,"[""none""]",是,学生,,,没有汽车,,,,暂时无购车计划,非常愿意尝试,北汽新能源,"10,000元及以下",很少,经济舱,"[""民宿/公寓""]",800元以下/晚,"[""none""]",,,,,,"[""香奈儿CHANEL""]",,,3年以上,1万-3万元,"[""海蓝之谜La Mer"",""资生堂"",""赫莲娜HR"",""欧莱雅"",""肌肤之钥CPB"",""ISPA"",""娇韵诗"",""植村秀""]","[""摄影摄像（数码相机、单反相机、摄像机等）"",""电脑整机（笔记本、一体机、平板电脑等）"",""学习设备""]",平均2-3年购买1部手机,"[""性能/配置"",""功能""]",未婚,,,无,,,,"[""日用品消费"",""服饰消费"",""旅游消费""]","[""读书"",""健身、各类运动"",""兴趣养成或技能提升类的活动/课程""]",1-5次,"3,000元以下",质量品质,"[""淘宝/天猫"",""小红书"",""京东"",""唯品会""]",是,android,170
男,陕西,85后（85-89年出生）,大学本科,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,企业职员,能源/原材料行业,技术/研发,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""比亚迪""]",20-50万元,,非常愿意尝试,高合,"30,001-50,000元",3-5次,经济舱,"[""三星级/舒适型""]","1,501-3,000元/晚","[""none""]",,,,,,"[""天梭TISSOT""]",,,1-2年,3万-5万元,"[""圣罗兰YSL"",""Sisley""]","[""手机""]",平均1-2年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型""]",已婚,无子女,,狗,"1,000-3,000元","50,001-80,000元","150,001-200,000元","[""服饰消费"",""兴趣消费"",""餐饮消费""]","[""看展、逛市集"",""读书"",""朋友聚会、咖啡吧、酒吧、live house等""]",6-10次,"5,000～10,000元",质量品质,"[""京东"",""小红书"",""抖音快手""]",否,android,158
男,江西,85后（85-89年出生）,大学本科,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,创始人/私营业主,陶瓷艺术,,有1辆汽车,"[""SUV（比如途观、奔驰GLK等）""]","[""日产""]",20万元以下,,不愿意尝试,,"10,001-30,000元",很少,经济舱,"[""民宿/公寓""]",800元以下/晚,"[""机械腕表"",""珠宝""]","[""自用"",""送人""]",2块,3-4件,,"[""价格"",""质量"",""品牌"",""款式/颜色"",""折扣/优惠"",""保值/收藏价值"",""明星同款/推荐""]","[""天梭TISSOT"",""欧米茄OMEGA"",""浪琴LONGINES"",""朗格A.LANGE & SÖHNE"",""帝舵TUDOR""]","[""天梭TISSOT"",""浪琴LONGINES""]",1-3万元,不打算购买,,"[""欧莱雅""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""学习设备""]",平均3年以上购买1部手机,"[""性能/配置"",""外观/造型"",""操作系统"",""质量/耐用"",""价格"",""功能"",""口碑"",""售后服务""]",已婚,有一个孩子,"[""幼儿园前（1-3周岁）""]",狗,"1,000元以下","10,001-30,000元","20,001-50,000元","[""智能产品消费、电子产品消费"",""兴趣消费"",""育儿消费""]","[""看展、逛市集"",""郊游/周边游"",""兴趣养成或技能提升类的活动/课程"",""读书"",""other"",""书法国画""]",1-5次,"3,000元以下",质量品质,"[""淘宝/天猫"",""京东"",""唯品会""]",是,android,563
女,江西,00后（2000年以后出生）,高中及以下,否,"[""none""]",否,学生,,,没有汽车,,,,暂时无购车计划,比较愿意尝试,小鹏,"100,000元以上",很少,经济舱,"[""三星级/舒适型""]",不确定,"[""none""]",,,,,,,,,不确定,,"[""圣罗兰YSL""]","[""手机"",""摄影摄像（数码相机、单反相机、摄像机等）"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均3年以上购买1部手机,"[""质量/耐用"",""操作系统"",""外观/造型"",""性能/配置"",""功能"",""口碑"",""售后服务"",""价格"",""品牌""]",不方便透露,,,无,,,,"[""学习消费"",""日用品消费"",""餐饮消费""]","[""玩游戏"",""电影、连续剧"",""逛商场、购物"",""看展、逛市集"",""朋友聚会、咖啡吧、酒吧、live house等""]",10次以上,"3,000元以下",实用性强,"[""拼多多"",""淘宝/天猫"",""京东""]",否,android,379
女,云南,85后（85-89年出生）,大学本科,否,"[""none""]",是,自由职业者,银行/证券/保险/投资机构及互联网金融,,没有汽车,,,,暂时无购车计划,比较愿意尝试,极氪,"10,001-30,000元",1-2次,经济舱,"[""四星级/高档型"",""民宿/公寓""]",800元以下/晚,"[""none""]",,,,,,"[""卡地亚CARTIER"",""欧米茄OMEGA"",""百达翡丽PATEK PHILIPPE""]",,,不确定,,"[""Pola""]","[""学习设备""]",平均3年以上购买1部手机,"[""品牌"",""性能/配置"",""功能"",""质量/耐用""]",已婚,无子女,,狗,"1,000-3,000元","30,001-50,000元","100,001-150,000元","[""兴趣消费"",""服饰消费"",""智能产品消费、电子产品消费""]","[""读书"",""电影、连续剧"",""健身、各类运动"",""兴趣养成或技能提升类的活动/课程"",""逛商场、购物"",""郊游/周边游""]",6-10次,"5,000～10,000元",理念价值观,"[""考拉海购"",""亚马逊"",""唯品会"",""京东"",""淘宝/天猫""]",否,android,766
男,广东,90后（90-94年出生）,大学专科,否,"[""none""]",是,企业职员,电商/零售/贸易,人事/行政/财务,没有汽车,,,,会增购或新购（增购即保留现有车辆再购买一辆）,非常愿意尝试,北汽新能源,"10,001-30,000元",1-2次,经济舱,"[""四星级/高档型""]",800元以下/晚,"[""包"",""鞋"",""服饰""]","[""送人"",""自用""]",,,5件以上,"[""保值/收藏价值"",""质量"",""款式/颜色""]","[""万宝龙MONTBLANC"",""欧米茄OMEGA"",""劳力士ROLEX""]","[""欧米茄OMEGA"",""天梭TISSOT""]",,2-3年,1万-3万元,"[""雅诗兰黛Estee Lauder"",""迪奥Dior"",""SK-II""]","[""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均3年以上购买1部手机,"[""性能/配置"",""品牌"",""外观/造型"",""质量/耐用"",""功能"",""售后服务"",""口碑""]",不方便透露,,,无,,"80,001-100,000元",,"[""餐饮消费"",""智能产品消费、电子产品消费"",""娱乐消费""]","[""健身、各类运动"",""逛商场、购物"",""电影、连续剧"",""读书""]",1-5次,"3,000～5,000元",质量品质,"[""京东"",""淘宝/天猫""]",否,android,324
男,河南,95后（95-99年出生）,大学本科,否,"[""在亚太地区申请研究生""]",是,学生,,,没有汽车,,,,暂时无购车计划,比较愿意尝试,比亚迪,"10,001-30,000元",很少,经济舱,"[""三星级/舒适型""]",800元以下/晚,"[""包"",""鞋"",""服饰""]","[""自用""]",,,3-4件,"[""质量"",""实用"",""品牌""]","[""天梭TISSOT""]","[""天梭TISSOT""]",,2-3年,1万-3万元,"[""香奈儿CHANEL"",""圣罗兰YSL"",""雅诗兰黛Estee Lauder"",""兰蔻Lancome"",""娇兰"",""资生堂"",""欧莱雅""]","[""手机"",""摄影摄像（数码相机、单反相机、摄像机等）"",""电脑整机（笔记本、一体机、平板电脑等）"",""游戏机"",""学习设备""]",平均1-2年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统"",""口碑""]",未婚,,,狗,"1,000元以下",,,"[""学习消费"",""智能产品消费、电子产品消费"",""日用品消费""]","[""读书"",""兴趣养成或技能提升类的活动/课程"",""电影、连续剧""]",10次以上,"3,000～5,000元",质量品质,"[""京东""]",是,android,180
女,辽宁,00后（2000年以后出生）,高中及以下,否,"[""在国内申请研究生""]",是,学生,,,没有汽车,,,,暂时无购车计划,比较愿意尝试,理想ONE,"10,000元及以下",1-2次,经济舱,"[""经济型/快捷型连锁""]",800元以下/晚,"[""none""]",,,,,,"[""香奈儿CHANEL""]",,,1年以内,1万元以下,"[""雅诗兰黛Estee Lauder"",""欧莱雅"",""资生堂"",""香奈儿CHANEL"",""兰蔻Lancome""]","[""电脑整机（笔记本、一体机、平板电脑等）"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""摄影摄像（数码相机、单反相机、摄像机等）""]",平均1-2年购买1部手机,"[""性能/配置"",""操作系统"",""质量/耐用"",""口碑"",""售后服务""]",未婚,,,狗,"1,000元以下",,,"[""学习消费"",""娱乐消费"",""日用品消费""]","[""读书"",""兴趣养成或技能提升类的活动/课程"",""逛商场、购物"",""玩游戏""]",6-10次,"3,000元以下",实用性强,"[""淘宝/天猫"",""京东"",""拼多多""]",否,android,289
男,云南,60后及以前（69年及之前出生）,大学本科,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,自由职业者,教育/科研/培训机构,,有1辆汽车,"[""MPV（比别克GL8等）""]","[""none""]",20-50万元,,非常愿意尝试,蔚来,"10,000元及以下",1-2次,经济舱,"[""三星级/舒适型""]",800元以下/晚,"[""珠宝""]","[""自用""]",,5件以上,,"[""朋友推荐""]","[""天梭TISSOT""]","[""天梭TISSOT"",""浪琴LONGINES""]",,不打算购买,,"[""兰蔻Lancome"",""欧莱雅""]","[""手机""]",平均1-2年购买1部手机,"[""性能/配置""]",已婚,有两个及以上孩子,"[""已参加工作""]",狗,"1,000元以下",none,none,"[""餐饮消费"",""日用品消费"",""旅游消费""]","[""朋友聚会、咖啡吧、酒吧、live house等""]",6-10次,"3,000元以下",性价比高,"[""淘宝/天猫"",""苏宁易购"",""拼多多""]",否,android,517
男,四川,60后及以前（69年及之前出生）,硕士/MBA,否,"[""none""]",否,企业中层管理人员,邮电通信,人事/行政/财务,有2辆及以上汽车,"[""普通轿车（两厢、三厢）""]","[""大众""]",20-50万元,,比较愿意尝试,特斯拉,"30,001-50,000元",很少,经济舱,"[""经济型/快捷型连锁""]",800元以下/晚,"[""none""]",,,,,,"[""百达翡丽PATEK PHILIPPE"",""帝舵TUDOR"",""江诗丹顿VACHERON CONSTANTIN""]",,,不确定,,"[""欧莱雅"",""兰蔻Lancome"",""资生堂""]","[""摄影摄像（数码相机、单反相机、摄像机等）""]",平均1-2年购买1部手机,"[""性能/配置"",""功能""]",已婚,有一个孩子,"[""已参加工作""]",狗,"1,000元以下","200,000元以上","300,000元以上","[""日用品消费"",""餐饮消费"",""服饰消费""]","[""郊游/周边游"",""读书"",""朋友聚会、咖啡吧、酒吧、live house等""]",1-5次,"3,000元以下",性价比高,"[""京东"",""拼多多""]",否,android,392
女,广东,90后（90-94年出生）,大学本科,否,"[""none""]",否,企业职员,房地产/建筑业,人事/行政/财务,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""丰田""]",20-50万元,,比较愿意尝试,蔚来,"10,000元及以下",很少,经济舱,"[""三星级/舒适型"",""四星级/高档型""]",不确定,"[""包""]","[""自用""]",,,3-4件,"[""款式/颜色"",""价格""]","[""浪琴LONGINES"",""欧米茄OMEGA""]","[""浪琴LONGINES""]",,不确定,,"[""雅诗兰黛Estee Lauder"",""迪奥Dior""]","[""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均2-3年购买1部手机,"[""性能/配置"",""价格""]",已婚,有两个及以上孩子,"[""幼儿园（3-6周岁）""]",猫,"1,000元以下","10,000元以下","20,001-50,000元","[""餐饮消费"",""育儿消费"",""智能产品消费、电子产品消费""]","[""逛商场、购物"",""郊游/周边游"",""看展、逛市集""]",6-10次,"3,000～5,000元",实用性强,"[""京东"",""淘宝/天猫"",""亲朋好友代买""]",否,android,390
男,内蒙古,85后（85-89年出生）,硕士/MBA,否,"[""在国内申请研究生"",""在国内接受职业技能培训或考取职业资格证""]",是,企业中层管理人员,邮电通信,市场/营销,有2辆及以上汽车,"[""普通轿车（两厢、三厢）"",""SUV（比如途观、奔驰GLK等）""]","[""福特"",""林肯""]",50-100万元,,不愿意尝试,,"10,001-30,000元",3-5次,经济舱,"[""经济型/快捷型连锁"",""民宿/公寓""]",800元以下/晚,"[""机械腕表""]","[""送人""]",1块,,,"[""other"",""搭配""]","[""积家JAEGER-LECOULTRE"",""万国IWC""]","[""万国IWC""]",3万-5万元,不打算购买,,"[""none""]","[""电脑整机（笔记本、一体机、平板电脑等）"",""摄影摄像（数码相机、单反相机、摄像机等）""]",平均2-3年购买1部手机,"[""性能/配置"",""操作系统""]",已婚,有两个及以上孩子,"[""none""]",无,,none,none,"[""汽车相关消费（私家车）"",""育儿消费"",""餐饮消费""]","[""郊游/周边游""]",10次以上,"3,000元以下",质量品质,"[""小红书"",""淘宝/天猫"",""京东""]",是,android,191
女,陕西,00后（2000年以后出生）,大学本科,否,"[""在国内申请研究生""]",否,学生,,,没有汽车,,,,暂时无购车计划,比较愿意尝试,蔚来,"10,000元及以下",很少,经济舱,"[""三星级/舒适型"",""青年旅社""]",800元以下/晚,"[""none""]",,,,,,"[""百达翡丽PATEK PHILIPPE"",""梵克雅宝VANCLEEF&ARPELS"",""宝格丽BVLGARI"",""江诗丹顿VACHERON CONSTANTIN""]",,,3年以上,1万-3万元,"[""汤姆福特TOM FORD"",""兰蔻Lancome"",""雅诗兰黛Estee Lauder"",""欧莱雅""]","[""手机""]",平均3年以上购买1部手机,"[""性能/配置"",""外观/造型"",""质量/耐用"",""品牌""]",未婚,,,无,,,,"[""餐饮消费"",""服饰消费"",""娱乐消费""]","[""逛商场、购物"",""电影、连续剧"",""话剧、戏剧、脱口秀等""]",6-10次,"3,000元以下",外观颜值,"[""京东"",""淘宝/天猫""]",是,android,343
男,山东,80后（80-84年出生）,高中及以下,否,"[""none""]",是,企业职员,汽车及汽车后市场,技工,有1辆汽车,"[""SUV（比如途观、奔驰GLK等）""]","[""其他国产品牌""]",20万元以下,,非常愿意尝试,沃尔沃,"10,001-30,000元",1-2次,经济舱,"[""经济型/快捷型连锁""]",800元以下/晚,"[""机械腕表""]","[""自用""]",2块,,,"[""实用"",""质量""]","[""欧米茄OMEGA"",""百达翡丽PATEK PHILIPPE"",""宝玑BREGUET"",""劳力士ROLEX"",""宝格丽BVLGARI"",""积家JAEGER-LECOULTRE"",""江诗丹顿VACHERON CONSTANTIN""]","[""江诗丹顿VACHERON CONSTANTIN"",""欧米茄OMEGA""]",拒绝回答,不确定,,"[""欧莱雅""]","[""电脑整机（笔记本、一体机、平板电脑等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""操作系统"",""质量/耐用"",""功能"",""售后服务""]",已婚,有一个孩子,"[""小学""]",无,,"30,001-50,000元","50,001-10,0000元","[""汽车相关消费（私家车）"",""日用品消费"",""兴趣消费""]","[""玩游戏"",""健身、各类运动""]",1-5次,"3,000元以下",实用性强,"[""京东"",""淘宝/天猫""]",否,android,431
男,北京,85后（85-89年出生）,大学本科,否,"[""到欧美地区申请研究生""]",是,自由职业者,咨询/审计/市场研究,,有1辆汽车,"[""新能源车""]","[""特斯拉""]",20-50万元,,非常愿意尝试,特斯拉,"10,001-30,000元",1-2次,经济舱,"[""四星级/高档型"",""五星级/豪华型""]",800元以下/晚,"[""鞋"",""服饰""]","[""自用""]",,,2件,"[""品牌"",""保值/收藏价值""]","[""欧米茄OMEGA"",""百达翡丽PATEK PHILIPPE""]","[""江诗丹顿VACHERON CONSTANTIN"",""百达翡丽PATEK PHILIPPE"",""欧米茄OMEGA""]",,1-2年,5万-10万元,"[""迪奥Dior"",""香奈儿CHANEL"",""资生堂"",""欧莱雅""]","[""手机"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置""]",已婚,有两个及以上孩子,"[""幼儿园前（1-3周岁）""]",无,,"30,001-50,000元","20,001-50,000元","[""育儿消费"",""餐饮消费"",""日用品消费""]","[""郊游/周边游"",""读书"",""朋友聚会、咖啡吧、酒吧、live house等"",""逛商场、购物""]",6-10次,"3,000～5,000元",质量品质,"[""京东"",""淘宝/天猫"",""苏宁易购""]",否,android,468
男,北京,80后（80-84年出生）,大学本科,否,"[""none""]",是,企业中层管理人员,教育/科研/培训机构,技术/研发,有2辆及以上汽车,"[""普通轿车（两厢、三厢）"",""SUV（比如途观、奔驰GLK等）""]","[""奥迪"",""日产""]",20-50万元,,比较愿意尝试,特斯拉,"10,001-30,000元",1-2次,经济舱,"[""四星级/高档型"",""三星级/舒适型""]",800元以下/晚,"[""none""]",,,,,,"[""欧米茄OMEGA""]",,,1-2年,不确定,"[""雅诗兰黛Estee Lauder"",""娇韵诗"",""SK-II"",""兰蔻Lancome"",""欧莱雅"",""娇兰"",""资生堂""]","[""手机"",""电脑整机（笔记本、一体机、平板电脑等）"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""操作系统"",""外观/造型"",""价格"",""口碑"",""功能""]",已婚,有一个孩子,"[""小学""]",无,,"10,001-30,000元","20,001-50,000元","[""育儿消费"",""旅游消费"",""汽车相关消费（私家车）""]","[""电影、连续剧"",""郊游/周边游"",""读书"",""看展、逛市集"",""逛商场、购物"",""朋友聚会、咖啡吧、酒吧、live house等"",""兴趣养成或技能提升类的活动/课程""]",6-10次,"3,000～5,000元",质量品质,"[""京东""]",是,android,312
女,重庆,80后（80-84年出生）,大学专科,否,"[""none""]",否,企业职员,能源/原材料行业,技术/研发,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""大众""]",20万元以下,,不愿意尝试,,"10,000元及以下",1-2次,经济舱,"[""四星级/高档型"",""民宿/公寓""]",800元以下/晚,"[""包""]","[""自用""]",,,2件,"[""品牌"",""保值/收藏价值""]","[""劳力士ROLEX"",""欧米茄OMEGA""]","[""天梭TISSOT""]",,不确定,,"[""海蓝之谜La Mer"",""Sisley"",""SK-II"",""乔治阿玛尼Giorgio Armani"",""赫莲娜HR"",""植村秀"",""资生堂"",""Pola"",""肌肤之钥CPB"",""Bobbi Brown"",""欧莱雅"",""娇兰"",""娇韵诗"",""香奈儿CHANEL"",""迪奥Dior"",""纪梵希Givenchy"",""ISPA"",""兰蔻Lancome"",""雅诗兰黛Estee Lauder""]","[""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均2-3年购买1部手机,"[""品牌"",""口碑"",""售后服务""]",不方便透露,,,无,,"10,001-30,000元",,"[""日用品消费"",""育儿消费"",""兴趣消费""]","[""看展、逛市集"",""逛商场、购物"",""话剧、戏剧、脱口秀等""]",10次以上,"5,000～10,000元",理念价值观,"[""抖音快手"",""淘宝/天猫"",""京东"",""考拉海购""]",是,android,732
男,吉林,60后及以前（69年及之前出生）,大学专科,否,"[""none""]",是,退休,,,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""大众""]",20万元以下,,不愿意尝试,,"10,000元及以下",很少,经济舱,"[""经济型/快捷型连锁""]",不确定,"[""机械腕表""]","[""自用""]",1块,,,"[""实用""]","[""欧米茄OMEGA""]","[""欧米茄OMEGA""]",1万元以下,不确定,,"[""none""]","[""手机""]",平均1-2年购买1部手机,"[""性能/配置""]",已婚,有一个孩子,"[""已参加工作""]",狗,"1,000元以下","10,001-30,000元","20,001-50,000元","[""餐饮消费"",""汽车相关消费（私家车）"",""日用品消费""]","[""电影、连续剧""]",10次以上,"3,000元以下",性价比高,"[""淘宝/天猫"",""苏宁易购""]",否,android,273
